time,ch1,ch2,ch3
1287.0,1.45,2.14,3.3
1289.0,1.47,2.17,3.3
1291.0,1.5,2.2,3.3
1293.0,1.55,2.22,3.3
1295.0,1.54,2.25,3.3
1297.0,1.51,2.26,3.3
1299.0,1.5,2.28,3.3
1301.0,1.5,2.3,3.3
1303.0,1.47,2.31,3.3
1305.0,1.45,2.33,3.3
1307.0,1.42,2.34,3.3
1309.0,1.44,2.34,3.3
1311.0,1.46,2.35,3.3
1313.0,1.49,2.35,3.3
1315.0,1.5,2.35,3.3
1317.0,1.5,2.35,3.3
1319.0,1.47,2.35,3.3
1321.0,1.47,2.35,3.3
1323.0,1.44,2.35,3.3
1325.0,1.43,2.35,3.3
1327.0,1.41,2.35,3.3
1329.0,1.42,2.34,3.3
1331.0,1.45,2.33,3.3
1333.0,1.51,2.32,3.3
1335.0,1.52,2.32,3.3
1337.0,1.5,2.31,3.3
1339.0,1.44,2.3,3.3
1341.0,1.47,2.29,3.3
1343.0,1.44,2.29,3.3
1345.0,1.37,2.28,3.3
1347.0,1.29,2.28,3.3
1349.0,1.32,2.27,3.3
1351.0,1.35,2.26,3.3
1353.0,1.41,2.25,3.3
1355.0,1.43,2.24,3.3
1357.0,1.42,2.23,3.3
1359.0,1.41,2.22,3.3
1361.0,1.41,2.21,3.1
1363.0,1.38,2.2,2.74
1366.0,1.39,2.19,2.38
1367.0,1.38,2.18,2.06
1369.0,1.42,2.17,1.79
1371.0,1.46,2.15,1.5
1373.0,1.48,2.14,1.23
1375.0,1.48,2.13,0.96
1377.0,1.5,2.12,0.67
1379.0,1.5,2.11,0.39
1381.0,1.49,2.1,0.15
1383.0,1.48,2.09,0.0
1385.0,1.46,2.08,0.0
1387.0,1.44,2.07,0.0
1389.0,1.46,2.06,0.0
1391.0,1.49,2.05,0.0
1393.0,1.55,2.04,0.0
1395.0,1.55,2.02,0.0
1397.0,1.54,2.01,0.0
1399.0,1.5,2.0,0.0
1401.0,1.46,1.99,0.0
1403.0,1.45,1.99,0.0
1405.0,1.43,1.98,0.0
1408.0,1.42,1.97,0.0
1409.0,1.46,1.96,0.0
1411.0,1.48,1.95,0.0
1413.0,1.51,1.94,0.0
1415.0,1.52,1.93,0.0
1417.0,1.5,1.92,0.0
1419.0,1.46,1.91,0.0
1421.0,1.45,1.9,0.0
1423.0,1.43,1.9,0.0
1425.0,1.38,1.89,0.0
1427.0,1.36,1.88,0.0
1429.0,1.4,1.87,0.0
1431.0,1.43,1.86,0.0
1433.0,1.47,1.85,0.0
1435.0,1.46,1.85,0.0
1437.0,1.43,1.84,0.0
1439.0,1.42,1.83,0.0
1441.0,1.41,1.82,0.0
1443.0,1.36,1.82,0.0
1445.0,1.34,1.81,0.0
1447.0,1.28,1.81,0.0
1449.0,1.29,1.8,0.0
1451.0,1.3,1.79,0.0
1453.0,1.36,1.78,0.0
1455.0,1.38,1.77,0.0
1457.0,1.37,1.76,0.0
1459.0,1.35,1.76,0.0
1461.0,1.34,1.75,0.0
1463.0,1.31,1.75,0.0
1465.0,1.25,1.75,0.0
1467.0,1.29,1.74,0.0
1469.0,1.35,1.74,0.0
1471.0,1.38,1.73,0.0
1473.0,1.43,1.72,0.0
1475.0,1.44,1.71,0.0
1477.0,1.44,1.71,0.0
1479.0,1.43,1.7,0.0
1481.0,1.43,1.7,0.0
1483.0,1.44,1.69,0.0
1485.0,1.5,1.68,0.0
1487.0,1.58,1.67,0.0
1489.0,1.64,1.66,0.0
1491.0,1.64,1.66,0.0
1494.0,1.68,1.65,0.0
1495.0,1.66,1.65,0.0
1497.0,1.59,1.64,0.0
1499.0,1.5,1.64,0.0
1501.0,1.47,1.64,0.0
1503.0,1.47,1.64,0.0
1505.0,1.44,1.64,0.0
1507.0,1.41,1.64,0.0
1509.0,1.41,1.63,0.0
1511.0,1.42,1.63,0.0
1513.0,1.44,3.3,0.0
1515.0,1.45,3.3,0.0
1517.0,1.46,3.3,0.0
1519.0,1.42,3.3,0.0
1521.0,1.4,1.72,0.0
1523.0,1.35,0.0,0.0
1525.0,1.3,0.0,0.0
1527.0,1.28,0.0,0.0
1529.0,1.32,0.0,0.0
1531.0,1.35,0.0,0.0
1533.0,1.39,3.3,0.0
1536.0,1.37,3.3,0.0
1537.0,1.35,3.3,0.0
1539.0,1.37,3.3,0.0
1541.0,1.35,3.3,0.0
1543.0,1.27,0.0,0.0
1545.0,1.28,0.0,0.0
1547.0,1.26,0.0,0.0
1549.0,1.3,0.0,0.0
1551.0,1.35,0.0,0.0
1553.0,1.43,3.3,0.0
1555.0,1.42,3.3,0.0
1557.0,1.38,3.3,0.0
1559.0,1.35,3.3,0.0
1561.0,1.35,0.0,0.0
1563.0,1.3,0.0,0.0
1565.0,1.27,0.0,0.0
1567.0,1.24,0.0,0.0
1569.0,1.29,0.0,0.0
1571.0,1.35,0.0,0.0
1573.0,1.39,0.0,0.0
1575.0,1.32,0.0,0.0
1577.0,1.39,0.0,0.0
1580.0,1.42,0.0,0.0
1581.0,1.39,0.0,0.0
1583.0,1.35,0.0,0.0
1585.0,1.31,0.0,0.0
1587.0,1.31,0.0,0.0
1589.0,1.37,0.0,0.0
1591.0,1.41,0.0,0.0
1593.0,1.4,0.0,0.0
1595.0,1.45,0.0,0.0
1597.0,1.48,0.0,0.0
1599.0,1.4,0.0,0.0
1601.0,1.37,0.0,0.0
1603.0,1.35,0.0,0.0
1605.0,1.3,0.0,0.0
1607.0,1.27,0.0,1.18
1609.0,1.3,0.0,0.0
1611.0,1.24,0.0,0.0
1613.0,1.43,0.11,0.0
1615.0,1.49,0.26,0.0
1617.0,1.44,0.4,0.12
1619.0,1.38,0.54,3.3
1622.0,1.36,0.67,3.3
1623.0,1.34,0.78,3.3
1625.0,1.32,0.89,3.3
1627.0,1.29,1.0,3.3
1629.0,1.3,1.09,3.3
1631.0,1.36,1.17,3.3
1633.0,1.41,1.25,3.3
1635.0,1.4,1.32,3.3
1637.0,1.38,1.38,3.3
1639.0,1.35,1.45,3.3
1641.0,1.28,1.51,3.3
1643.0,1.21,1.56,3.3
1645.0,1.37,1.61,3.3
1647.0,1.4,1.65,3.3
1649.0,1.43,1.69,3.3
1651.0,1.45,1.72,3.3
1653.0,1.48,1.75,3.3
1655.0,1.48,1.78,3.3
1657.0,1.47,1.81,3.3
1659.0,1.48,1.84,3.3
1661.0,1.45,1.86,3.3
1664.0,1.45,1.88,3.3
1665.0,1.49,1.89,3.3
1667.0,1.52,1.91,3.3
1669.0,1.53,1.92,3.3
1671.0,1.56,1.93,3.3
1673.0,1.64,1.94,3.3
1675.0,1.66,1.95,3.3
