time,ch1,ch2,ch3,button
670.0,1.57,3.26,3.3,0
672.0,1.61,3.21,3.3,0
673.0,1.49,3.19,3.3,0
675.0,1.44,3.04,3.29,0
677.0,1.46,2.9,3.29,0
679.0,1.36,2.76,3.29,0
681.0,1.35,2.65,3.28,0
684.0,1.45,2.73,3.29,0
686.0,1.54,2.66,3.28,0
688.0,1.65,2.47,3.28,0
690.0,1.72,2.38,3.28,0
692.0,1.71,2.38,3.28,0
694.0,1.72,2.32,3.28,0
696.0,1.71,2.46,3.28,0
698.0,1.69,2.62,3.29,0
700.0,1.74,2.72,3.29,0
702.0,1.81,3.01,3.29,0
704.0,1.48,3.09,3.3,0
706.0,1.31,3.02,3.29,0
708.0,1.4,2.93,3.29,0
710.0,1.55,3.03,3.29,0
712.0,1.75,3.25,3.3,0
714.0,1.66,3.3,3.3,0
716.0,1.66,3.3,3.3,0
717.0,1.6,3.3,3.3,0
719.0,1.64,3.3,3.3,0
721.0,1.58,3.3,3.3,0
723.0,1.38,3.3,3.3,0
726.0,1.45,3.3,3.3,0
728.0,1.45,3.3,3.3,0
730.0,1.42,3.3,3.3,0
732.0,1.65,3.3,3.3,0
734.0,1.41,3.3,3.3,0
736.0,1.14,3.3,3.09,0
738.0,1.3,3.3,2.72,0
740.0,1.56,3.3,2.47,0
742.0,1.65,3.3,2.24,0
744.0,1.55,3.3,2.32,0
746.0,1.44,3.3,2.3,0
748.0,1.4,3.3,2.1,0
750.0,1.41,3.3,1.94,0
752.0,1.58,3.3,1.83,0
754.0,1.61,3.3,1.72,0
756.0,1.5,3.3,1.65,0
758.0,1.39,3.3,1.65,0
760.0,1.42,3.3,1.79,0
762.0,1.55,3.3,1.71,0
763.0,1.47,3.3,1.83,0
765.0,1.28,3.3,2.03,0
768.0,1.33,3.3,2.14,0
770.0,1.45,3.3,2.14,0
772.0,1.39,3.3,2.1,0
774.0,1.54,3.3,2.16,0
776.0,1.56,3.3,3.3,0
778.0,1.44,3.3,3.29,0
780.0,1.32,3.3,3.18,0
782.0,1.28,3.3,3.12,0
784.0,1.32,3.3,3.0,0
786.0,1.37,3.3,2.83,0
788.0,1.36,3.3,2.81,0
790.0,1.35,3.3,2.84,0
792.0,1.45,3.3,2.83,0
794.0,1.4,3.3,2.7,0
796.0,1.36,3.3,2.61,0
798.0,1.53,3.3,2.57,0
800.0,1.25,3.3,2.51,0
802.0,1.27,3.3,2.47,0
804.0,1.36,3.3,1.97,0
806.0,1.44,3.3,1.57,0
807.0,1.52,3.3,1.34,0
809.0,1.48,3.3,1.45,0
812.0,1.56,3.3,1.54,0
814.0,1.56,3.3,1.52,0
816.0,1.47,3.3,1.59,0
818.0,1.39,3.3,1.61,0
820.0,1.63,3.3,1.36,0
822.0,1.53,3.3,1.45,0
824.0,1.31,3.3,1.37,0
826.0,1.47,3.3,1.32,0
828.0,1.57,3.3,1.3,0
830.0,1.54,3.3,1.26,0
832.0,1.54,3.3,1.25,0
834.0,1.62,3.3,1.15,0
836.0,1.58,3.3,1.07,0
838.0,1.46,3.3,1.24,0
840.0,1.45,3.3,1.33,0
842.0,1.49,3.3,1.63,0
844.0,1.59,3.3,1.73,0
846.0,1.67,3.3,1.75,0
848.0,1.58,3.3,1.67,0
850.0,1.49,3.3,1.49,0
852.0,1.62,3.3,1.47,0
854.0,1.56,3.3,1.41,0
856.0,1.45,3.3,1.36,0
858.0,1.49,3.3,1.3,0
860.0,1.48,3.3,1.06,0
862.0,1.48,3.3,0.82,0
864.0,1.46,3.3,0.68,0
866.0,1.43,3.3,0.68,0
868.0,1.51,3.3,0.74,0
870.0,1.68,3.3,0.72,0
