time,ch1,ch2,ch3,button
562.0,1.49,3.3,1.03,0
564.0,1.52,3.3,0.96,0
566.0,1.6,3.3,0.92,0
568.0,1.64,0.0,0.84,0
570.0,1.73,0.0,0.85,0
572.0,1.73,0.0,0.87,0
574.0,1.69,0.0,0.89,0
576.0,1.62,0.0,0.95,0
578.0,1.53,2.45,1.08,0
580.0,1.44,3.3,1.12,0
582.0,1.45,3.3,1.14,0
584.0,1.54,3.3,1.12,0
586.0,1.58,3.3,1.07,0
587.0,1.54,0.0,0.99,0
589.0,1.65,0.0,1.02,0
591.0,1.61,0.0,1.07,0
593.0,1.49,0.0,1.06,0
595.0,1.48,0.0,1.06,0
598.0,1.45,1.26,1.12,0
600.0,1.33,3.3,1.16,0
602.0,1.35,3.3,1.01,0
604.0,1.44,3.3,0.89,0
606.0,1.54,3.3,0.46,0
608.0,1.52,0.0,0.07,0
610.0,1.49,0.0,0.0,0
612.0,1.61,0.0,0.0,0
614.0,1.6,0.0,0.0,0
616.0,1.41,0.0,0.0,0
618.0,1.56,0.13,0.01,0
620.0,1.49,3.3,0.08,0
622.0,1.46,3.3,0.08,0
624.0,1.5,3.3,0.08,0
626.0,1.55,2.12,0.03,0
628.0,1.64,0.0,0.0,0
630.0,1.63,0.0,0.0,0
632.0,1.55,0.0,0.0,0
634.0,1.52,0.0,0.0,0
635.0,1.41,0.0,0.0,0
637.0,1.41,0.0,0.0,0
640.0,1.19,3.3,0.08,0
642.0,1.14,3.3,0.08,0
644.0,1.4,3.3,0.08,0
646.0,1.58,0.0,0.0,0
648.0,1.59,0.0,0.0,0
650.0,1.61,0.0,0.0,0
652.0,1.57,0.0,0.0,0
654.0,1.43,0.0,0.0,0
656.0,1.43,0.0,0.0,0
658.0,1.42,0.46,0.02,0
660.0,1.38,3.3,0.09,0
662.0,1.36,3.3,0.18,0
664.0,1.41,3.3,0.25,0
666.0,1.41,0.0,0.23,0
668.0,1.34,0.0,0.38,0
670.0,1.42,0.0,0.51,0
672.0,1.45,0.0,0.63,0
674.0,1.41,0.0,0.73,0
676.0,1.3,0.0,0.82,0
678.0,1.19,0.0,0.6,0
679.0,1.27,3.3,0.08,0
681.0,1.34,3.3,0.08,0
684.0,1.36,2.17,0.02,0
686.0,1.34,0.0,0.0,0
688.0,1.3,0.0,0.0,0
690.0,1.31,0.0,0.03,0
692.0,1.29,0.0,0.15,0
694.0,1.25,0.0,0.28,0
696.0,1.19,0.0,0.42,0
698.0,1.21,0.0,0.54,0
700.0,1.15,3.3,0.13,0
702.0,1.14,3.3,0.08,0
704.0,1.07,0.0,0.0,0
706.0,1.03,0.0,0.0,0
708.0,1.0,0.0,0.0,0
710.0,0.84,0.0,0.0,0
712.0,0.85,0.0,0.0,0
714.0,0.96,0.0,0.0,0
716.0,0.85,0.0,0.0,0
718.0,0.92,0.0,0.0,0
720.0,1.07,3.3,0.08,0
722.0,1.0,3.3,0.08,0
724.0,0.98,0.0,0.0,0
727.0,1.15,0.0,0.0,0
728.0,1.21,0.0,0.0,0
730.0,1.24,0.0,0.0,0
732.0,1.27,0.0,0.0,0
734.0,1.24,0.0,0.0,0
736.0,1.21,0.0,0.0,0
738.0,1.24,0.0,0.0,0
740.0,1.28,3.3,0.08,0
742.0,1.41,3.3,0.08,0
744.0,1.47,1.73,0.03,0
746.0,1.5,0.0,0.0,0
748.0,1.57,0.0,0.0,0
750.0,1.65,0.0,0.0,0
752.0,1.8,0.0,0.0,0
754.0,1.79,0.0,0.0,0
756.0,1.76,0.0,0.0,0
758.0,1.77,0.0,0.0,0
760.0,1.72,3.3,0.09,0
762.0,1.7,3.3,0.09,0
764.0,1.65,2.86,0.07,0
766.0,1.92,0.0,0.13,0
769.0,2.01,0.0,0.32,0
771.0,1.9,0.0,0.52,0
773.0,1.78,0.0,0.72,0
774.0,1.72,0.0,0.91,0
776.0,1.61,0.0,1.05,0
778.0,1.5,0.0,0.92,0
780.0,1.55,3.3,0.08,0
782.0,1.51,3.3,0.08,0
784.0,1.62,2.07,0.04,0
786.0,1.68,0.0,0.0,0
788.0,1.74,0.0,0.0,0
790.0,1.74,0.0,0.0,0
792.0,1.72,0.0,0.0,0
794.0,1.67,0.07,0.13,0
796.0,1.51,0.34,0.48,0
798.0,1.4,0.63,0.82,0
800.0,1.43,3.3,1.17,0
802.0,1.53,2.91,1.37,0
804.0,1.57,1.23,0.36,0
806.0,1.62,1.13,0.46,0
808.0,1.65,1.31,0.74,0
811.0,1.73,1.5,0.97,0
813.0,1.68,1.68,1.1,0
815.0,1.51,1.83,1.28,0
817.0,1.52,1.98,1.45,0
818.0,1.66,2.13,1.57,0
820.0,1.61,2.29,1.58,0
822.0,1.61,2.85,1.63,0
824.0,1.57,2.54,1.68,0
826.0,1.57,2.59,1.68,0
828.0,1.62,2.67,1.77,0
830.0,1.67,2.75,1.85,0
832.0,1.73,2.8,1.62,0
834.0,1.7,2.84,1.65,0
836.0,1.62,2.89,1.78,0
838.0,1.62,2.94,2.0,0
840.0,1.64,3.01,2.16,0
842.0,1.63,3.07,2.26,0
844.0,1.59,3.12,2.36,0
846.0,1.58,3.16,2.51,0
848.0,1.6,3.18,2.67,0
850.0,1.57,3.19,2.83,0
852.0,1.51,3.19,2.98,0
855.0,1.44,3.18,3.13,0
857.0,1.34,3.17,3.22,0
859.0,1.05,3.18,3.3,0
861.0,1.25,3.21,3.3,0
863.0,1.43,3.23,3.3,0
864.0,1.35,3.25,3.3,0
866.0,1.3,3.25,3.3,0
868.0,1.46,3.24,3.3,0
870.0,1.47,3.2,3.3,0
872.0,1.39,3.16,3.3,0
874.0,1.34,3.11,3.3,0
876.0,1.29,3.07,3.29,0
878.0,1.27,3.05,3.29,0
880.0,1.28,3.05,3.29,0
882.0,1.32,3.05,3.29,0
884.0,1.35,3.05,3.29,0
886.0,1.26,3.04,3.29,0
888.0,1.35,3.01,3.29,0
890.0,1.41,2.97,3.29,0
892.0,1.14,2.91,3.29,0
894.0,0.87,2.86,3.29,0
897.0,0.98,2.82,3.29,0
899.0,1.16,2.79,3.28,0
901.0,1.11,2.79,3.28,0
903.0,1.11,2.79,3.28,0
905.0,1.11,2.79,3.29,0
907.0,1.06,2.78,3.28,0
909.0,1.04,2.75,3.28,0
911.0,0.74,2.71,3.28,0
913.0,0.52,2.66,3.28,0
914.0,0.4,2.61,3.28,0
916.0,0.31,2.58,3.28,0
918.0,0.26,2.56,3.28,0
920.0,0.29,2.56,3.28,0
922.0,0.35,2.57,3.28,0
