time,ch1,ch2
1751.15,1.55,1.68
1753.15,1.63,1.73
1755.15,1.61,1.66
1757.15,1.65,1.65
1759.15,1.57,1.58
1761.15,1.52,1.54
1763.15,1.5,1.63
1765.15,1.41,1.6
1766.15,1.43,1.46
1768.15,1.44,1.48
1770.15,1.46,1.6
1772.15,1.53,1.58
1774.15,1.53,1.35
1776.15,1.52,1.29
1778.15,1.52,1.45
1780.15,1.47,1.44
1782.15,1.4,1.35
1784.15,1.28,1.19
1786.15,1.33,1.48
1788.15,1.36,1.59
1791.15,1.42,1.59
1793.15,1.47,1.48
1795.15,1.43,1.47
1797.15,1.45,1.44
1799.15,1.45,1.31
1801.15,1.44,1.27
1803.15,1.39,1.15
1805.15,1.29,1.14
1807.15,1.33,1.41
1809.15,1.35,1.55
1810.15,1.4,1.48
1812.15,1.47,1.34
1814.15,1.41,1.06
1816.15,1.4,1.04
1818.15,1.32,1.14
1820.15,1.29,1.3
1822.15,1.26,1.29
1824.15,1.16,1.14
1826.15,1.16,1.22
1828.15,1.21,1.25
1830.15,1.34,1.28
1832.15,1.4,1.15
1835.15,1.38,0.91
1837.15,1.42,1.17
1839.15,1.41,1.31
1841.15,1.37,1.17
1843.15,1.32,1.0
1845.15,1.19,0.77
1847.15,1.2,0.84
1849.15,1.24,0.96
1851.15,1.35,0.94
1852.15,1.41,0.94
1854.15,1.44,1.01
1856.15,1.5,0.99
1858.15,1.5,0.95
1860.15,1.49,0.79
1862.15,1.51,0.77
1864.15,1.4,0.56
1866.15,1.41,0.63
1868.15,1.46,0.83
1870.15,1.53,0.9
1872.15,1.51,0.89
1874.15,1.46,0.86
1877.15,1.45,0.99
1879.15,1.43,0.92
1881.15,1.46,0.98
1883.15,1.41,1.16
1885.15,1.29,1.18
1887.15,1.31,1.15
1889.15,1.35,0.98
1891.15,1.42,0.85
1893.15,1.5,0.83
1895.15,1.51,0.74
1896.15,1.51,0.75
1898.15,1.49,0.89
1900.15,1.48,1.01
1902.15,1.41,0.95
