time,ch1,ch2
1237.0,1.24,1.65
1239.0,1.26,1.68
1241.0,1.25,1.45
1242.0,1.36,1.46
1244.0,1.43,1.37
1246.0,1.38,1.35
1248.0,1.39,1.49
1250.0,1.39,1.64
1252.0,1.37,1.57
1254.0,1.31,1.65
1256.0,1.22,1.69
1258.0,1.18,1.64
1260.0,1.18,1.46
1262.0,1.27,1.25
1264.0,1.34,1.19
1266.0,1.28,1.2
1268.0,1.25,1.12
1271.0,1.03,1.07
1273.0,0.89,1.08
1275.0,0.87,1.26
1277.0,0.76,1.35
1279.0,0.83,1.4
1281.0,0.79,1.1
1283.0,0.98,1.06
1284.0,1.05,1.1
1286.0,0.98,1.05
1288.0,1.01,1.22
1290.0,1.0,1.23
1292.0,0.91,1.06
1294.0,0.75,1.15
1296.0,0.67,1.15
1298.0,0.74,1.2
1300.0,0.88,1.06
1302.0,1.07,0.91
1304.0,1.19,0.61
1306.0,1.19,0.47
1308.0,1.25,0.54
1310.0,1.15,0.48
1312.0,1.01,0.53
1315.0,0.87,0.59
1317.0,0.78,0.58
1319.0,0.76,0.54
1321.0,0.75,0.32
1323.0,0.97,0.18
1325.0,1.25,0.05
1327.0,1.41,0.0
1328.0,1.52,0.0
1330.0,1.5,0.15
1332.0,1.37,0.42
1334.0,1.22,0.36
1336.0,1.21,0.55
1338.0,1.21,0.67
1340.0,1.28,0.74
1342.0,1.46,0.74
1344.0,1.6,0.57
1346.0,1.72,0.67
1348.0,1.8,0.85
1350.0,1.72,0.76
1352.0,1.63,0.94
1354.0,1.42,0.95
1357.0,1.33,0.99
1359.0,1.37,1.19
1361.0,1.37,1.15
1363.0,1.34,1.2
1365.0,1.28,1.25
1367.0,1.25,1.26
1369.0,1.31,1.35
1370.0,1.15,1.31
1372.0,0.86,1.4
1374.0,0.83,1.53
1376.0,0.73,1.75
1378.0,0.74,1.85
1380.0,0.75,1.72
1382.0,0.9,1.69
1384.0,1.04,1.61
1386.0,0.95,1.65
1388.0,0.84,1.72
1390.0,0.72,1.45
1392.0,0.63,1.41
1394.0,0.48,1.62
1396.0,0.34,1.7
1399.0,0.27,1.67
1401.0,0.44,1.53
1403.0,0.58,1.25
1405.0,0.61,1.03
1407.0,0.6,1.13
1409.0,0.56,1.2
1411.0,0.43,1.26
1413.0,0.23,1.25
1414.0,0.08,1.33
1416.0,0.08,1.44
1418.0,0.15,1.58
1420.0,0.25,1.36
1422.0,0.46,1.4
1424.0,0.57,1.41
1426.0,0.66,1.41
1428.0,0.69,1.33
1430.0,0.72,1.37
1432.0,0.62,1.41
1434.0,0.53,1.51
1436.0,0.47,1.53
1438.0,0.45,1.56
1440.0,0.57,1.4
1443.0,0.65,1.49
1445.0,0.71,1.59
1447.0,0.82,1.58
1449.0,0.83,1.68
1451.0,0.73,1.87
1453.0,0.65,1.64
1455.0,0.55,1.45
1456.0,0.36,1.25
1458.0,0.33,1.25
1460.0,0.31,0.94
1462.0,0.35,0.67
1464.0,0.31,0.48
1466.0,0.29,0.35
1468.0,0.34,0.48
1470.0,0.17,0.76
1472.0,0.03,0.89
1474.0,0.0,1.1
1476.0,0.0,1.42
1478.0,0.0,1.45
1480.0,0.13,1.0
1482.0,0.26,0.24
1485.0,0.22,0.0
1487.0,0.19,0.0
1489.0,0.06,0.0
