time,ch1,ch2
1209.0,1.34,1.84
1211.0,1.48,1.66
1213.0,1.47,1.61
1215.0,1.53,1.58
1217.0,1.54,1.62
1219.0,1.52,1.73
1221.0,1.42,1.99
1223.0,1.26,1.72
1225.0,1.26,1.65
1227.0,1.28,1.53
1229.0,1.35,1.39
1231.0,1.45,1.16
1233.0,1.45,1.01
1235.0,1.5,1.15
1238.0,1.48,1.21
1240.0,1.43,1.23
1242.0,1.42,1.35
1244.0,1.27,1.36
1246.0,1.29,1.48
1248.0,1.29,1.59
1250.0,1.34,1.36
1251.0,1.49,1.17
1253.0,1.47,1.01
1255.0,1.51,1.1
1257.0,1.53,1.3
1259.0,1.47,1.41
1261.0,1.37,1.44
1263.0,1.23,1.49
1265.0,1.28,1.61
1267.0,1.31,1.56
1269.0,1.39,1.5
1271.0,1.47,1.41
1273.0,1.42,1.25
1275.0,1.48,1.51
1277.0,1.48,1.74
1280.0,1.5,1.74
1282.0,1.4,1.73
1284.0,1.29,1.79
1286.0,1.26,1.93
1288.0,1.33,1.84
1290.0,1.37,1.59
1292.0,1.5,1.33
1293.0,1.5,1.16
1295.0,1.51,1.24
1297.0,1.52,1.38
1299.0,1.42,1.43
1301.0,1.32,1.5
1303.0,1.23,1.58
1305.0,1.28,1.82
1307.0,1.21,1.63
1309.0,1.25,1.46
1311.0,1.38,1.27
1313.0,1.4,1.18
1315.0,1.5,1.35
1317.0,1.46,1.45
1319.0,1.43,1.56
1321.0,1.36,1.64
1324.0,1.24,1.62
1326.0,1.29,1.71
1328.0,1.27,1.65
1330.0,1.32,1.47
1332.0,1.4,1.36
1334.0,1.42,1.38
1336.0,1.42,1.66
1337.0,1.47,1.84
1339.0,1.41,1.81
1341.0,1.37,1.79
1343.0,1.24,1.74
1345.0,1.21,1.7
1347.0,1.29,1.55
1349.0,1.39,1.37
1351.0,1.45,1.15
1353.0,1.45,1.08
1355.0,1.52,1.24
1357.0,1.57,1.35
1359.0,1.5,1.32
1361.0,1.45,1.33
1363.0,1.36,1.31
1366.0,1.42,1.4
1368.0,1.44,1.35
1370.0,1.5,1.21
1372.0,1.55,1.01
1374.0,1.58,0.96
1376.0,1.58,1.18
1378.0,1.6,1.27
1379.0,1.53,1.31
1381.0,1.51,1.38
1383.0,1.35,1.4
1385.0,1.34,1.52
1387.0,1.3,1.47
1389.0,1.36,2.04
1391.0,1.46,2.09
1393.0,1.44,1.74
1395.0,1.49,1.69
1397.0,1.48,1.72
1399.0,1.42,1.69
1401.0,1.4,1.74
1403.0,1.28,1.7
1405.0,1.31,1.77
1408.0,1.33,1.57
1410.0,1.43,1.36
1412.0,1.52,1.11
1414.0,1.56,1.09
1416.0,1.63,1.5
1418.0,1.62,1.68
1420.0,1.58,1.57
1422.0,1.5,1.55
1423.0,1.35,1.53
1425.0,1.35,1.58
1427.0,1.39,1.5
1429.0,1.43,1.33
1431.0,1.46,1.14
1433.0,1.5,1.11
